"","V1","V2","V3","V4","V5","V6","V7","V8"
"Primary and Early Visual Cortex_rh",5.97562159098759,25.0533071830734,34.5652067551912,-0.729644603580631,-2.19455352828376,13.5646994433031,-10.8534912289955,-12.1707452537744
"Dorsal Stream Visual Cortex_rh",2.13567418396401,31.8216477789952,36.9361141504014,2.40133858394706,-5.42960082254903,12.7436743663918,-10.273112798133,-15.0283054335569
"Ventral Stream Visual Cortex_rh",5.79601730377331,35.3822833736121,35.6538531413044,-0.0711346382944798,-3.51799680691741,6.33074870279772,-9.01451784376905,-13.2744101610135
"MT+ Complex and Neighboring Visual Areas_rh",3.73871123351223,35.9184924487479,39.7320601206813,0.0307350152472591,-5.42544207302151,10.6079511615806,-10.1415053659,-14.5806278882348
"Superior Somatosnesory and Motor Cortex_rh",7.41346898580029,29.3933689332531,-1.46195005342548,27.2674402701258,-9.15105622809186,-8.25625024952424,1.94505894149065,-15.0841451142395
"Inferior Somatosnesory and Motor Cortex_rh",12.4254856007536,30.4738175945442,1.52733300923085,13.6630500191018,-6.89533370448747,-7.03434718584459,-0.557456417808623,-11.9836814244337
"Supplementory Motor Area_rh",16.5130742071117,23.1633282995857,1.25035921814298,6.74334358588036,-3.52410322723359,-5.84846586111466,-0.724623229945436,-8.05134808183599
"Cingulate Motor Areas & Area 5_rh",12.7952144975985,30.5477653677535,2.58037714195896,12.595739473468,-5.41961665933725,-6.90044217837822,-1.1904643832144,-11.8872326556501
"Premotor Cortex_rh",17.5937542276531,28.3758346201217,2.56246987665971,7.12613500057722,-5.01096698822787,-6.17350786196613,-1.52194533089086,-9.35936257488213
"Insular & Frontoparietal Operculum_rh",20.6599431905797,35.4964594736074,7.71425082709098,3.47279563642798,-2.63305211946156,-7.95096228362515,-2.87665130343482,-9.61436684051457
"Early Auditory Cortex_rh",15.2019660215001,42.1985309424001,12.4058107231747,5.35839053047117,-4.60782116215651,-7.0008269096915,-3.64281485540654,-11.9913964035169
"Auditory Association Cortex_rh",20.8561250340071,52.0829156984534,18.6692804783958,0.437215186632353,-4.29250723759963,-8.70624187595482,-4.50010538455836,-12.1744430898419
"Medial Temporal Cortex_rh",29.2062130103428,35.2552344918796,13.9432015848028,-0.408759359983358,-2.92728702472496,-4.87246379150422,-4.39215692881413,-8.54446860610276
"Lateral Temporal Cortex_rh",30.1110533406078,43.0021056559524,16.4261790185813,-0.275014065835801,-4.14119618401223,-6.49792544621969,-4.58454012812182,-10.1661966543545
"Temporal-Parieto-Occipital Junction_rh",9.37139272484114,46.9272264010679,26.6916464105105,2.16557885380267,-6.11615401524061,-2.41598621165055,-6.34852063346537,-14.0362152117211
"Medial Bank of the Intra-parietal Sulcus_rh",4.43977113799939,46.8026284977723,10.6021213779241,17.1574670463779,-9.06867019991298,-5.63603972440359,-3.70481923097687,-16.7800331652882
"Superior Medial Parietal Cortex_rh",5.41368677850772,36.852522238112,11.0928508671211,12.956070809039,-6.91686671877311,-3.10558710494517,-4.02346501994298,-14.2820746394402
"Inferior Parietal Cortex Task-Positive Network_rh",6.94576423936402,49.4792635216032,6.79254690795755,14.9042524806396,-8.3593100985688,-7.774584332125,-3.16552595559204,-14.8077577060311
"Inferior Parietal Cortex Task-Negative Network_rh",8.01460135334245,60.7048789249615,20.9541259931137,5.33165326417678,-7.74496328960389,-5.3562270811596,-6.17117836632419,-15.626325208644
"Intraparietal Sulcus & PGP_rh",3.4598681395197,45.6343518545014,33.656115618743,3.75244514547717,-7.25800739101665,6.11618376659687,-9.26262120705547,-16.4724003779413
"Posterior Cingulate Cortex_rh",7.46928837246825,39.0481305967067,24.75793032859,4.68471158900534,-3.59860424638051,0.569168842969076,-7.14197843532321,-13.9443520745587
"Anterior Cingulate and Medial Prefrontal Cortex_rh",31.3738851605972,24.7463398052866,2.37117379933309,0.694379771844722,-2.0930006121654,-5.84336627804755,-2.14585436942806,-5.61552929362623
"Orbital and Polar Frontal Cortex_rh",74.6378029096362,20.5648503330179,2.18979110583488,-0.479497104027062,-4.50187575359496,-5.4256181463345,-2.39348182217405,-4.47063738744326
"Inferior Frontal Cortex_rh",25.670246927841,24.1847475040587,4.60009400676261,1.40575773580701,-2.84555456814965,-5.41067474849996,-2.25533192469164,-6.52578515591574
"Inferior Dorso-Lateral Prefrontal Cortex_rh",24.3671338516047,22.5281584534989,2.156565474044,2.49944115047769,-3.62659122510832,-4.92328294590319,-1.92011661277786,-6.14876882095554
"Superior Dorso-Lateral Prefronta lCortex_rh",19.532685282635,22.050631196374,2.00684845637262,1.84123529749762,-2.98873417043666,-4.78381320798756,-1.6146004883564,-5.86991170618843
"Primary and Early Visual Cortex_lh",3.02521647274393,26.1918447787141,37.4600561213063,-1.04520245701649,0.578622122468576,11.3995776047866,-11.8171414311007,-12.6542323605744
"Dorsal Stream Visual Cortex_lh",0.181201988881966,34.9472349484471,36.3597908340043,1.62236164099456,-0.823757438296619,6.30983113214922,-10.4857917487313,-14.5581711578626
"Ventral Stream Visual Cortex_lh",1.41260656849201,44.2403062057771,28.2628191905038,-0.262492879073272,6.08023064845868,-6.11536078116397,-8.56200726195812,-12.7965887833569
"MT+ Complex and Neighboring Visual Areas_lh",-0.660132220839786,41.4449727622349,31.4739381851366,0.136024953336494,5.45015991459637,-3.26273146952813,-9.64529126394757,-13.8729659299328
"Superior Somatosnesory and Motor Cortex_lh",9.52890543033035,26.8190423616643,-0.040687263916218,15.4278878851504,-3.62356113151675,-8.53586005264501,-0.0397704064313276,-11.7640380401568
"Inferior Somatosnesory and Motor Cortex_lh",7.54565860493244,33.246764362386,-0.345958689138531,14.9265669068632,-1.79920690924969,-10.8006322492586,-0.694266132825572,-12.4970530702108
"Supplementory Motor Area_lh",14.5405486084516,21.9770604473673,0.771277268747678,6.72341556090036,-2.53979682066972,-6.05751494073047,-0.69267771492108,-7.75579711960738
"Cingulate Motor Areas & Area 5_lh",12.1413236243514,29.8713274069401,3.86877650463702,10.5588020240678,-4.21876650139465,-6.23894372632749,-1.70743857363798,-10.9751043896315
"Premotor Cortex_lh",13.6301463410553,29.0596590009396,1.33305535742801,7.33972799967692,-0.565925480815357,-8.21245940937097,-1.73867225439268,-9.38301523364894
"Insular & Frontoparietal Operculum_lh",15.188656424977,36.7741925013616,6.37706934307005,1.89297699094039,4.75253969834599,-11.0875410731961,-3.71401877262013,-8.75516313916163
"Early Auditory Cortex_lh",7.32064152113947,44.46490292513,7.75961818903793,5.41210410994485,4.83691945284878,-12.5652088637881,-4.32106081792325,-11.5358209556788
"Auditory Association Cortex_lh",7.32414461476902,52.3192142038068,10.5345193354692,-0.196960819285966,9.98568698655603,-14.8876961460518,-5.65893947915499,-10.6929753884125
"Medial Temporal Cortex_lh",19.4298509002441,41.4203349048466,11.4320639143839,-0.849030688655988,5.20143703835531,-10.3452198575272,-4.83659814482954,-8.82061384628176
"Lateral Temporal Cortex_lh",22.0741029607278,45.2792643717689,10.2078102543293,-0.94793859764013,6.62308505610075,-12.2296659688735,-5.13557029843365,-8.95363292936911
"Temporal-Parieto-Occipital Junction_lh",0.757614958083842,53.3596812622516,17.4784307852247,0.942579263687907,8.69270735365581,-13.3438696035159,-7.16468289683747,-12.7581304481452
"Medial Bank of the Intra-parietal Sulcus_lh",0.999401350927391,46.4757905765938,4.97249856350516,17.5691636859569,-1.34619408966077,-11.9351673785643,-3.38492818881162,-15.8517196130818
"Superior Medial Parietal Cortex_lh",4.4211284028345,38.1657948789377,11.1659135450789,12.1373606876303,-4.70353393238093,-4.4246598724197,-4.36499168344045,-14.1286011076639
"Inferior Parietal Cortex Task-Positive Network_lh",3.47857987628766,50.8788530759379,5.26701872029094,10.6292431946421,1.60023861699666,-12.4714483116408,-4.13532682799105,-13.0956155857004
"Inferior Parietal Cortex Task-Negative Network_lh",2.78067538786966,55.8895241653474,14.1438735118514,3.76045088716975,3.91760209945057,-10.8506788507479,-6.56668995243862,-13.4243443771747
"Intraparietal Sulcus & PGP_lh",0.0601237360746206,52.2607435776591,26.4875084517667,2.76418896678954,2.66173781030689,-5.20392003467468,-9.18715211515101,-15.2046750041064
"Posterior Cingulate Cortex_lh",8.54376527453172,38.4522838278503,21.2732207909948,4.7945975466669,-2.39473840332825,-1.41919680833687,-6.69523054371818,-13.2623890873784
"Anterior Cingulate and Medial Prefrontal Cortex_lh",29.1861754873846,23.1889667439525,2.27668028678952,0.780405057584793,-1.60251674215652,-5.84766353668462,-2.01485965145252,-5.51058910111804
"Orbital and Polar Frontal Cortex_lh",42.9887536229088,21.38108207803,3.11649879468278,0.0286309230384232,-1.8324367458726,-5.45903022912711,-2.46119390931719,-4.80666188934908
"Inferior Frontal Cortex_lh",25.1271851182443,26.3726900375315,3.10308603050382,1.74564566272669,0.831739131672514,-7.6458998471168,-2.68994435378762,-6.67221580755833
"Inferior Dorso-Lateral Prefrontal Cortex_lh",22.765790103988,22.6362872758927,2.00289032843179,1.24269281278443,-0.436241804930166,-5.73358793611191,-2.24268329870337,-5.51118029736067
"Superior Dorso-Lateral Prefrontal Cortex_lh",18.6768759942161,24.3291791217025,1.40409952717552,1.77728312689702,-0.244418354595492,-6.19565385141027,-2.08161930368099,-6.02842061359746
